Time(s),Torque,signal_0,signal_1,signal_2
2.63,0.1001221,-1.0,-0.1,21.700000000000003
2.63,0.1001221,-1.0,-0.1,21.700000000000003
2.63,0.1001221,-1.0,-0.1,21.700000000000003
2.63,0.1001221,-1.0,-0.1,21.700000000000003
2.63,0.0952381,-1.0,-0.1,21.700000000000003
2.63,0.0952381,-1.0,-0.1,21.700000000000003
2.63,0.105006106,-1.0,-0.1,21.700000000000003
2.63,0.1001221,-1.0,-0.1,21.6
2.63,0.1001221,-1.0,-0.1,21.6
2.63,0.1001221,-1.0,-0.1,21.6
2.64,0.0952381,-1.0,-0.1,21.6
2.64,0.0952381,-1.0,-0.1,21.6
2.64,0.0952381,-1.0,-0.1,21.6
2.64,0.0952381,-1.0,-0.1,21.6
2.64,0.0952381,-1.0,-0.1,21.6
2.64,0.0952381,-1.0,-0.1,21.6
2.64,0.0952381,-1.0,-0.1,21.6
2.64,0.09035409,-1.0,-0.1,21.6
2.64,0.09035409,-1.0,-0.1,21.6
2.65,0.09035409,-1.0,-0.1,21.6
2.65,0.0952381,-1.0,-0.1,21.700000000000003
2.65,0.09035409,-1.0,-0.1,21.700000000000003
2.65,0.08547009,-1.0,-0.1,21.700000000000003
2.65,0.08547009,-1.0,-0.1,21.700000000000003
2.65,0.09035409,-1.0,-0.1,21.700000000000003
2.65,0.08547009,-1.0,-0.1,21.700000000000003
2.65,0.08058608,-1.0,-0.1,21.700000000000003
2.65,0.08058608,-1.0,-0.1,21.700000000000003
2.65,0.08547009,-1.0,-0.1,21.700000000000003
2.65,0.07570208,-1.0,-0.1,21.700000000000003
2.66,0.07570208,-1.0,-0.1,21.700000000000003
2.66,0.07570208,-1.0,-0.1,21.700000000000003
2.66,0.07570208,-1.0,-0.1,21.700000000000003
2.66,0.07570208,-1.0,-0.1,21.700000000000003
2.66,0.070818074,-1.0,-0.1,21.700000000000003
2.66,0.070818074,-1.0,-0.1,21.700000000000003
2.66,0.06593407,-1.0,-0.1,21.700000000000003
2.66,0.06593407,-1.0,-0.1,21.700000000000003
2.67,0.06105006,-1.0,-0.1,21.700000000000003
2.67,0.06593407,-1.0,-0.1,21.700000000000003
2.67,0.06593407,-1.0,-0.1,21.700000000000003
2.67,0.056166057,-1.0,-0.1,21.700000000000003
2.67,0.051282052,-1.0,-0.1,21.700000000000003
2.67,0.051282052,-1.0,-0.1,21.700000000000003
2.67,0.056166057,-1.0,-0.1,21.700000000000003
2.67,0.051282052,-1.0,-0.1,21.700000000000003
2.68,0.046398047,-1.0,-0.1,21.700000000000003
2.68,0.046398047,-1.0,-0.1,21.700000000000003
2.68,0.046398047,-1.0,-0.1,21.700000000000003
2.68,0.046398047,-1.0,-0.1,21.700000000000003
2.68,0.041514043,-1.0,-0.1,21.700000000000003
2.68,0.041514043,-1.0,-0.1,21.700000000000003
2.68,0.03663004,-1.0,-0.1,21.700000000000003
2.68,0.041514043,-1.0,-0.1,21.700000000000003
2.69,0.041514043,-1.0,-0.1,21.6
2.69,0.041514043,-1.0,-0.1,21.6
2.69,0.041514043,-1.0,-0.1,21.6
2.69,0.03663004,-1.0,-0.1,21.6
2.69,0.03663004,-1.0,-0.1,21.6
